image_name,comment_number,comment
1000092795.jpg,0,ينظر شابان بشعر أشعث إلى أيديهما أثناء التسكع في الفناء
1000092795.jpg,1,شابان من ذوي البشرة البيضاء في الخارج بالقرب من العديد من الشجيرات
10002456.jpg,0,يقوم العديد من الرجال الذين يرتدون قبعات صلبة بتشغيل نظام بكرة عملاق
10002456.jpg,1,أربعة رجال على قمة هيكل طويل
1000268201.jpg,0,فتاة صغيرة تصعد إلى مكان اللعب الخاص للأطفال
1000268201.jpg,1,فتاة صغيرة ترتدي ثوب وردي تدخل كوخ خشبي
1000344755.jpg,0,رجل يرتدي قميص أزرق و بنطلون جينز يقف على سلم و ينظف النوافذ
1000344755.jpg,1,رجل يرتدي قميص أزرق يقف على سلم ينظف نافذة
1000366164.jpg,0,رجلان أحدهما يرتدي قميص رمادي و الآخر يرتدي قميص أسود يقفان بالقرب من الفرن
1000366164.jpg,1,رجلان بجانب الموقد يحضران الطعام
1000523639.jpg,0,رجل يقوم بإصلاح زي رجل يعزف على الجيتار 
1000523639.jpg,1,رجل يرتدي ملابس خضراء يحمل جيتار بينما يراقب رجل آخر قميصه
1000919630.jpg,0,رجل يجلس على كرسي و هو يمسك بحيوان أسد محشو كبير
1000919630.jpg,1,رجل يمسك بلعبة أسد محشوة كبيرة
10010052.jpg,0,فتاة ترتدي حذاء بعجلات تتحدث على هاتفها المحمول و هي تقف في مواقف السيارات
10010052.jpg,1,امرأة تتحدث على الهاتف المحمول و هي ترتدي حذاء بعجلات
1001465944.jpg,0,يقف رجل آسيوي يرتدي بدلة سوداء بالقرب من امرأة ذات شعر داكن و امرأة ذات شعر بني
1001465944.jpg,1,يقف ثلاثة أشخاص في الخارج بالقرب من أنابيب كبيرة ودرابزين معدني
1001545525.jpg,0,رجلان يقفزان معا من فوق البوابة
1001545525.jpg,1,شابان يقفزان من فوق حاجز على جانب الطريق في الليل
1001573224.jpg,0,خمس فتيات يقفزن في وقت واحد في غرفة تدريب الرقص
1001573224.jpg,1,راقصات الباليه في الاستوديو يتدربون على القفز بشكل رائع
1001633352.jpg,0,ثلاثة شبان و شابة يرتدون أحذية رياضية يقفزون في الجو فوق درج خرساني
1001633352.jpg,1,أربعة رجال يرتدون ملابس غير رسمية يقفزون على درج في الخارج و خلفهم جدار حجري
1001773457.jpg,0,كلب أسود و كلب أبيض به بقع بنية يحدقان في بعضهما البعض في الشارع
